_file,n,k,success_rate,avg_time_s,min_time_s,max_time_s
adaptation_metrics_2025-09-21T22:42:14.384233.json,5,5,1.0,49.05459022521973,15.019330978393555,64.38895511627197
adaptation_metrics_2025-09-21T22:47:24.441961.json,30,27,0.9,78.68864158789317,12.679187059402466,250.6456389427185
adaptation_metrics_A_WMUUT.json,5,4,0.8,87.84112648963928,30.501046180725098,224.29881715774536
adaptation_metrics_A_WMUUT_2.json,5,4,0.8,91.5535991191864,32.205073833465576,208.49954104423523
adaptation_metrics_A_WMUUT_3.json,5,3,0.6,145.7955235004425,13.128324747085571,333.33146595954895
